example_index,round,order_index,workload,batch_size,latency_ms,success,structural_score,native_linear_macs,native_linear_operations,operation_convention,full_solve_native_linear_equivalent_gops,includes_semantic_validation
8,0,0,actual_sequential_recurrence_complete_solve,1,7.634486,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41472444903298006,True
9,0,1,actual_sequential_recurrence_complete_solve,1,7.816432,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4050707535100414,True
10,0,2,actual_sequential_recurrence_complete_solve,1,7.587926,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4172692248184814,True
11,0,3,actual_sequential_recurrence_complete_solve,1,7.735685,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.40929898257232555,True
12,0,4,actual_sequential_recurrence_complete_solve,1,7.681255,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41219930857652815,True
13,0,5,actual_sequential_recurrence_complete_solve,1,7.354069,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4305382503210128,True
14,0,6,actual_sequential_recurrence_complete_solve,1,7.62436,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41527524933240295,True
15,0,7,actual_sequential_recurrence_complete_solve,1,7.542532,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41978051932693167,True
16,0,8,actual_sequential_recurrence_complete_solve,1,7.466268,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.424068356506892,True
17,0,9,actual_sequential_recurrence_complete_solve,1,7.420993,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4266555702181635,True
18,0,10,actual_sequential_recurrence_complete_solve,1,7.562399,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41867772382811325,True
19,0,11,actual_sequential_recurrence_complete_solve,1,7.65854,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4134218793660411,True
20,0,12,actual_sequential_recurrence_complete_solve,1,7.762047,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4079088931051306,True
21,0,13,actual_sequential_recurrence_complete_solve,1,7.47899,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4233470027370006,True
22,0,14,actual_sequential_recurrence_complete_solve,1,7.662553,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4132053637997676,True
23,0,15,actual_sequential_recurrence_complete_solve,1,7.558056,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41891830386014606,True
24,0,16,actual_sequential_recurrence_complete_solve,1,7.787568,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4065721159673983,True
25,0,17,actual_sequential_recurrence_complete_solve,1,7.664258,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41311344164040403,True
26,0,18,actual_sequential_recurrence_complete_solve,1,7.604607,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4163539286119586,True
27,0,19,actual_sequential_recurrence_complete_solve,1,7.505712,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4218397934799523,True
28,0,20,actual_sequential_recurrence_complete_solve,1,7.35103,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.43071623976503975,True
29,0,21,actual_sequential_recurrence_complete_solve,1,7.428351,0,0.5,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4262329553355785,True
30,0,22,actual_sequential_recurrence_complete_solve,1,7.558307,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41890439221375897,True
31,0,23,actual_sequential_recurrence_complete_solve,1,7.399643,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.42788658858271944,True
9,1,0,actual_sequential_recurrence_complete_solve,1,7.431208,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.42606908594134363,True
10,1,1,actual_sequential_recurrence_complete_solve,1,7.442862,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.42540194887396815,True
11,1,2,actual_sequential_recurrence_complete_solve,1,7.583532,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41751099619544035,True
12,1,3,actual_sequential_recurrence_complete_solve,1,7.598253,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4167021024438118,True
13,1,4,actual_sequential_recurrence_complete_solve,1,7.600838,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41656038452602195,True
14,1,5,actual_sequential_recurrence_complete_solve,1,7.566733,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4184379176587835,True
15,1,6,actual_sequential_recurrence_complete_solve,1,7.616802,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.415687318641078,True
16,1,7,actual_sequential_recurrence_complete_solve,1,7.599481,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41663476755846884,True
17,1,8,actual_sequential_recurrence_complete_solve,1,7.441551,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4254768931906803,True
18,1,9,actual_sequential_recurrence_complete_solve,1,7.691378,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41165679283998263,True
19,1,10,actual_sequential_recurrence_complete_solve,1,7.584044,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4174828099626004,True
20,1,11,actual_sequential_recurrence_complete_solve,1,7.69749,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4113299270281611,True
21,1,12,actual_sequential_recurrence_complete_solve,1,7.66771,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4129274581328715,True
22,1,13,actual_sequential_recurrence_complete_solve,1,7.550318,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4193476354240974,True
23,1,14,actual_sequential_recurrence_complete_solve,1,7.510924,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4215470693086496,True
24,1,15,actual_sequential_recurrence_complete_solve,1,7.819384,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.40491782984439695,True
25,1,16,actual_sequential_recurrence_complete_solve,1,7.710735,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4106233711831622,True
26,1,17,actual_sequential_recurrence_complete_solve,1,7.480749,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4232474582424835,True
27,1,18,actual_sequential_recurrence_complete_solve,1,7.582002,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4175952472711033,True
28,1,19,actual_sequential_recurrence_complete_solve,1,7.715292,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41038083846988554,True
29,1,20,actual_sequential_recurrence_complete_solve,1,7.450221,0,0.5,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.42498175557476753,True
30,1,21,actual_sequential_recurrence_complete_solve,1,7.705377,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4109089016669788,True
31,1,22,actual_sequential_recurrence_complete_solve,1,7.474769,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4235860666730972,True
8,1,23,actual_sequential_recurrence_complete_solve,1,7.523389,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4208486361664936,True
10,2,0,actual_sequential_recurrence_complete_solve,1,8.089556,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.3913945338903643,True
11,2,1,actual_sequential_recurrence_complete_solve,1,7.561716,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4187155402292284,True
12,2,2,actual_sequential_recurrence_complete_solve,1,7.64237,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4142966121765892,True
13,2,3,actual_sequential_recurrence_complete_solve,1,7.892367,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4011734375758248,True
14,2,4,actual_sequential_recurrence_complete_solve,1,7.821187,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4048244850813566,True
15,2,5,actual_sequential_recurrence_complete_solve,1,7.789474,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4064726321700284,True
16,2,6,actual_sequential_recurrence_complete_solve,1,7.747479,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4086759060592485,True
17,2,7,actual_sequential_recurrence_complete_solve,1,7.791585,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.406362505189894,True
18,2,8,actual_sequential_recurrence_complete_solve,1,7.478512,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4233740615780251,True
19,2,9,actual_sequential_recurrence_complete_solve,1,7.569598,0,0.375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41827954403919465,True
20,2,10,actual_sequential_recurrence_complete_solve,1,7.476228,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4235034030529834,True
21,2,11,actual_sequential_recurrence_complete_solve,1,7.717208,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41027895062566666,True
22,2,12,actual_sequential_recurrence_complete_solve,1,7.627707,0,0.3125,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.41509302861266173,True
23,2,13,actual_sequential_recurrence_complete_solve,1,7.561644,0,0.4375,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4187195271292856,True
24,2,14,actual_sequential_recurrence_complete_solve,1,7.561543,0,0.25,1583104,3166208,1_MAC_equals_2_arithmetic_operations,0.4187251199920439,True
