workload,K,build,hidden,out_dim,latency_ms,timing_repetitions,macs,operations,gops,arithmetic_intensity_ops_per_byte,packed_weight_bytes,input_activation_bytes,output_activation_bytes,requant_parameter_bytes,external_first_touch_logical_bytes,decoded_row_scratch_bytes,traffic_scope,cache_residency_established,bandwidth_bottleneck_established
precomputed_input_reuse,1,avx2,512,512,1.4646150888890157,90,262144,524288,0.3579698201782824,7.641791044776119,65536,512,512,2048,68608,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,1,scalar,512,512,1.1028644318182241,88,262144,524288,0.4753875316621091,7.641791044776119,65536,512,512,2048,68608,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,2,avx2,512,512,1.1125204444444612,90,524288,1048576,0.9425229039486175,15.058823529411764,65536,1024,1024,2048,69632,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,2,scalar,512,512,1.1341798749999945,88,524288,1048576,0.9245235461438647,15.058823529411764,65536,1024,1024,2048,69632,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,4,avx2,512,512,1.1470858837209914,86,1048576,2097152,1.828243229004896,29.257142857142856,65536,2048,2048,2048,71680,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,4,scalar,512,512,1.194628309523607,42,1048576,2097152,1.7554849347545605,29.257142857142856,65536,2048,2048,2048,71680,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,8,avx2,512,512,1.2084017857142997,42,2097152,4194304,3.4709515076731705,55.351351351351354,65536,4096,4096,2048,75776,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,8,scalar,512,512,1.325332684210423,38,2097152,4194304,3.164717847804975,55.351351351351354,65536,4096,4096,2048,75776,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,16,avx2,512,512,1.3066633552629832,76,4194304,8388608,6.419869330698176,99.90243902439025,65536,8192,8192,2048,83968,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,16,scalar,512,512,1.5606821212123014,33,4194304,8388608,5.374962579493078,99.90243902439025,65536,8192,8192,2048,83968,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,32,avx2,512,512,1.4947094999998252,34,8388608,16777216,11.224399122372583,167.18367346938774,65536,16384,16384,2048,100352,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,32,scalar,512,512,2.042717399999674,25,8388608,16777216,8.213185044589466,167.18367346938774,65536,16384,16384,2048,100352,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,64,avx2,512,512,1.9145411111112396,27,16777216,33554432,17.52609636077457,252.06153846153848,65536,32768,32768,2048,133120,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,64,scalar,512,512,2.9962991176471205,17,16777216,33554432,11.198625598618145,252.06153846153848,65536,32768,32768,2048,133120,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,128,avx2,512,512,2.7421373157891007,19,33554432,67108864,24.47319600429572,337.8144329896907,65536,65536,65536,2048,198656,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,128,scalar,512,512,4.9039290909085125,11,33554432,67108864,13.684713370838582,337.8144329896907,65536,65536,65536,2048,198656,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,256,avx2,512,512,4.311038666667599,12,67108864,134217728,31.133501315530832,407.055900621118,65536,131072,131072,2048,329728,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
precomputed_input_reuse,256,scalar,512,512,8.71549283333195,6,67108864,134217728,15.399901137740743,407.055900621118,65536,131072,131072,2048,329728,512,kernel_external_first_touch_logical_bytes_not_measured_dram,False,False
