surface,config,semantic_success,regressions,proxy_exploitation_rate,median_latency_ms
confirmation,semantic_exit_k4,0.9912109375,0,0,1.238183
confirmation,learned_strong_d1_int8,0.8505859375,144,0.0673828125,25.0393915
confirmation,learned_strong_d2_int8,0.8486328125,146,0.1318359375,36.958078
confirmation,learned_strong_d4_int8,0.8486328125,146,0.1328125,61.093163
confirmation,unguided_strong_d4_int8,0.8486328125,146,0.1318359375,59.240231
confirmation,learned_weak_d4_int8,0.861328125,133,0.0927734375,47.1081895
confirmation,learned_lcb_beta2_d4_int8,0.87109375,123,0.0634765625,61.335539
confirmation,learned_strong_guard_d4_int8,0.9697265625,22,0.01171875,5.30039
confirmation,learned_oracle_d4_int8,0.9912109375,2,0,28.2926795
confirmation,learned_strong_d4_fp32,0.8486328125,146,0.1318359375,59.130526
lower_clue_shift,semantic_exit_k4,0.859375,0,0,
lower_clue_shift,learned_strong_d4_int8,0.3203125,276,0.5859375,
lower_clue_shift,unguided_strong_d4_int8,0.3203125,276,0.583984375,
lower_clue_shift,learned_lcb_beta2_d4_int8,0.34375,264,0.380859375,
lower_clue_shift,learned_strong_guard_d4_int8,0.705078125,82,0.201171875,
lower_clue_shift,learned_oracle_d4_int8,0.87109375,8,0,
lower_clue_shift,learned_strong_d4_fp32,0.3203125,276,0.5859375,
